year,ACCESS-CM2,BCC-CSM2-MR,CanESM5,CNRM-CM6-1,CMCC-CM2-SR5,CMCC-ESM2,EC-Earth3_r1i1p1f1,EC-Earth3_r3i1p1f1,EC-Earth3_r4i1p1f1,GFDL-ESM4,HadGEM3-GC31-LL,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR_r1i1p1f1,MPI-ESM1-2-HR_r2i1p1f1,MPI-ESM1-2-LR,HadGEM3-GC31-MM,KIOST-ESM,MRI-ESM2-0
1893,0.035312611,0.01849847,0.02253743,0.144585133,-0.048336111,-0.455214696,0.205541163,-0.491927863,-0.722917385,0.186957304,0.138359981,-0.089170559,0.091733052,0.070000841,-0.187654852,-0.086058056,-0.012840137,0.074277678,-0.404320996,0.081774204
1894,0.108818111,0.08273987,-0.04056137,0.188720433,0.072035189,-0.451234596,0.247779763,-0.451569063,-0.610440785,0.203067904,0.244316481,-0.309610359,0.119800552,-0.184344259,-0.098249652,-0.074214056,-0.116200637,0.027929678,-0.178857396,0.136537304
1895,0.129084011,0.17701417,-0.05216047,0.026726833,-0.236430811,-0.391668396,0.373517963,-0.437021963,-0.750229885,0.242110904,0.113528081,-0.304815559,0.049639952,-0.181862959,-0.115735752,-0.143676256,-0.062545337,0.036557478,-0.201338396,0.267685904
1896,0.175999811,0.19751487,-0.08099967,0.000325933,-0.374487411,-0.196202796,0.218248663,-0.493161963,-0.592550585,0.315633704,0.240997081,-0.232614659,0.071046652,-0.106429759,-0.154800452,-0.228855856,0.005014063,0.155234578,-0.061521696,0.266819604
1897,0.232082911,0.11356547,-0.10445247,0.104197333,-0.234036411,-0.015554296,0.294205263,-0.569226563,-0.515359085,0.281449904,0.281880381,-0.163827159,0.122781652,0.124240441,-0.176747352,-0.097578456,0.107044963,0.144502478,-0.022898596,0.158411504
1898,0.288404611,0.03579327,-0.14338657,0.088436533,-0.207710811,-0.086491396,0.296245063,-0.501628963,-0.384511385,0.227112504,0.201870881,-0.226475159,0.135864552,0.210648441,-0.197446452,-0.040077056,-0.071142137,0.267778578,-0.120626796,0.162691004
1899,0.224297911,0.00709977,-0.09475047,-0.048456167,-0.058301111,-0.187981696,0.438679563,-0.508336863,-0.372952285,0.383944404,0.205488581,-0.203417059,0.139218052,0.070863541,-0.176213452,-0.111890656,-0.135346137,0.151579378,-0.039181996,0.089064304
1900,0.227450811,0.12362947,-0.07678397,0.057216333,0.006866489,-0.274171996,0.323734163,-0.547231663,-0.325775685,0.435170504,0.183333381,-0.160592359,0.228421552,0.000149341,-0.120604552,-0.225882656,-0.130794837,0.099398678,0.039691804,-0.049828596
1901,0.173716711,0.06206957,0.04870583,0.136424733,0.113267489,-0.145385996,0.218520663,-0.629275863,-0.530405585,0.211760404,0.219433781,-0.234209659,0.238750452,0.166492741,-0.032697652,-0.078822356,-0.000336537,0.146793678,0.091953204,0.203762104
1902,0.201862611,-0.05624953,0.04060503,-0.093175167,0.004853489,-0.048223096,0.149250363,-0.643957263,-0.557968785,0.164534404,0.081821281,-0.187839759,0.103968352,0.320193741,0.056664648,-0.007910156,-0.006250237,0.081722178,-0.176402596,0.148559504
1903,0.004577111,-0.13435583,-0.02918507,-0.178325267,-0.329408311,-0.314090496,0.045847763,-0.918794363,-0.753807285,0.047372804,-0.081049619,-0.241871959,-0.277876848,-0.152480359,-0.380380852,-0.081398856,-0.289080837,-0.165143522,-0.280223196,-0.087457796
1904,0.010847211,-0.02778473,0.11862753,-0.264740267,-0.296358411,-0.297743796,0.002144963,-0.728819863,-0.654695385,0.330739104,0.104617581,-0.390203559,-0.250413148,-0.078918059,-0.270774252,-0.075325756,-0.087525637,-0.046906922,-0.212454796,0.131972604
1905,0.044063311,-0.11968243,0.00279923,-0.258969867,-0.314883011,-0.198415596,0.060558763,-0.678928663,-0.657619685,0.308388104,0.068340581,-0.328719859,-0.127301948,-0.024424159,-0.152928152,-0.123253056,0.064320563,0.136701578,0.011012104,0.217865204
1906,0.127443111,-0.20491963,-0.06506687,-0.227477667,-0.232175911,-0.037479896,0.133100763,-0.596718563,-0.586636985,0.237904104,0.100231381,-0.402677659,-0.056675548,0.015687241,-0.259014152,-0.163556656,-0.047557637,0.023236078,0.111555504,0.081736204
1907,-0.011451689,-0.14816223,-0.06963417,-0.058674967,-0.163133411,0.001870804,0.266848863,-0.651974663,-0.480757885,0.254027104,0.203050581,-0.226390859,-0.037360248,0.139267341,-0.255800452,-0.036227556,-0.089527637,0.052903878,0.011271704,-0.066167996
1908,0.036459611,0.00982197,0.06172343,-0.118499967,-0.197540411,-0.088390496,0.166291363,-0.682764263,-0.522020085,0.271098504,0.045646081,-0.270222959,0.122148652,0.109938541,-0.026777852,-0.094156656,-0.141871637,0.136594478,0.134299404,0.155787704
1909,-0.044255589,0.01663217,0.04320173,-0.164359767,0.084929589,-0.081167196,0.088288263,-0.547357863,-0.310674685,0.423886304,-0.125604719,-0.340218059,0.232638852,-0.016022259,0.040346948,-0.110190856,-0.203301437,0.204742278,0.309699604,0.212845104
1910,0.149555511,-0.03547973,0.02997393,-0.104905867,0.153919689,-0.119216896,0.215686563,-0.470732463,-0.269099385,0.440813604,-0.100285619,-0.260831959,0.127535752,0.039855241,-0.067488652,-0.069847256,-0.050718037,0.193806878,0.051708304,0.231548104
1911,0.117690311,-0.03698343,0.24863523,-0.161822067,-0.063941711,-0.031784396,0.175074963,-0.493162263,-0.347258885,0.440514204,0.049928281,-0.192829459,0.009188152,0.289701941,-0.122747452,-0.010074456,0.014379863,0.101675378,-0.034535496,0.092458104
1912,-0.124978289,-0.07873593,-0.00137807,-0.187427867,-0.183558011,0.148390704,0.057835963,-0.687737463,-0.391252485,0.078695404,-0.011620319,-0.287193559,-0.036753748,0.327671941,-0.211894352,0.005357544,-0.053764737,-0.010351522,0.039210704,0.044535404
1913,-0.167609289,-0.18230633,-0.09905617,-0.091176267,-0.285484511,0.031891704,0.188579963,-0.649978963,-0.425589985,-0.007011096,0.104963481,-0.266847759,-0.066108348,-0.114855859,-0.086542752,-0.018159656,0.033515263,-0.091321022,-0.031045196,0.039812404
1914,-0.302667289,0.09043477,0.00266883,-0.018479567,-0.174303811,-0.175536496,0.206032463,-0.645280163,-0.359847785,0.281289904,0.198557481,-0.160389459,0.013015052,-0.078846559,0.013284348,0.105252744,0.116255863,-0.107790222,-0.026626896,0.043511304
1915,-0.112817289,0.00671447,0.18973813,-0.120077567,-0.137511811,-0.226840396,0.144969163,-0.669258463,-0.289253485,0.344082604,0.168749381,-0.251043959,-0.023115948,0.194417241,0.123860648,0.057487744,0.041618663,-0.059557422,0.073599904,0.082522004
1916,0.097897711,-0.09022653,0.07087493,-0.177070767,0.074940589,-0.078085996,0.164871563,-0.516168863,-0.211459285,0.320109504,0.111848081,-0.171494859,0.180871352,0.399192941,0.028607848,0.213545144,-0.092568337,0.128948878,0.095692204,-0.043149996
1917,-0.180909589,0.04650617,0.16150663,0.022880533,0.046829189,0.022295304,0.274121263,-0.531222063,-0.099221085,0.262181304,0.132275081,-0.168491759,0.309422552,0.315145141,0.099740348,0.367483744,-0.203396537,0.096710478,0.029491204,-0.015680796
1918,0.046538511,0.11466747,0.17647553,-0.211247067,0.012632489,-0.053010496,0.441604963,-0.545940263,-0.372858085,0.338805804,0.223850681,-0.198763459,0.378390552,-0.056648059,0.072022648,0.124096244,-0.223016037,0.263825878,0.004632204,0.027574204
1919,0.021780511,0.12455797,0.15324763,0.004190833,0.025882689,-0.035344496,0.454611863,-0.394736963,-0.261151085,0.451899304,0.350914481,-0.195066159,-0.044000848,-0.020083159,-0.010400452,0.092109244,-0.114945437,0.077211178,0.077060404,-0.029854496
1920,-0.035587689,-0.03543403,0.01592663,0.101046633,0.037006789,-0.005428996,0.330652763,-0.347829263,-0.306284885,0.464397004,0.272003981,-0.118575459,-0.033392248,0.162347941,0.015186548,0.062858444,0.081451663,0.071311578,0.261307704,-0.015899596
1921,-0.043184389,0.13340167,-0.00206947,0.094673833,0.247284989,0.141857904,0.351697563,-0.469953763,-0.222270085,0.260985304,0.243698681,-0.168501159,0.111765152,0.326164941,0.058869048,0.009522344,0.122313763,0.090406178,0.028289504,0.117585104
1922,-0.136311989,0.01769517,0.12972963,-0.027509767,0.240646089,-0.037822496,0.197703863,-0.436855863,-0.278076785,0.320862104,0.225437881,-0.113537759,0.201540352,0.209800841,0.078288348,0.123004944,0.108837663,0.012523678,0.019996104,0.208511104
1923,0.042190211,0.04291107,0.25870783,-0.035787767,0.010747289,-0.225255296,0.262751163,-0.288854563,-0.144009885,0.406415704,0.325021681,0.040921241,0.181541352,-0.039225959,0.047730748,0.234555744,0.133791863,-0.001824522,0.204854504,0.247597504
1924,0.087038111,-0.02983563,0.13735413,0.003641833,-0.116659811,-0.208797396,0.353777463,-0.522364263,-0.133465585,0.310636904,0.351409881,-0.088579359,0.287684752,-0.039068059,0.095234548,0.113973844,0.113571563,0.150992278,0.205452804,0.020890304
1925,0.132823411,0.00788917,0.26036953,0.036711133,-0.052567811,-0.091362996,0.268346863,-0.565943563,-0.199717985,0.262886004,0.251115681,-0.077870359,0.256247952,0.009198241,0.087305048,0.056698444,-0.026816337,0.228084778,0.177779204,-0.057602496
1926,0.040295511,0.07531597,0.24135913,0.002750433,-0.015578511,0.055870404,0.313557263,-0.490191963,-0.125791785,0.219856304,0.318007981,-0.066489359,0.178851752,0.100174841,0.186954648,0.011627244,0.125477163,0.000330378,0.203240804,0.027244804
1927,0.206687511,0.13152397,0.08082163,-0.057709867,0.091787189,0.281235504,0.254017963,-0.452186063,-0.046968385,0.375163304,0.256355581,0.018224041,0.137075352,0.255766741,0.241902448,-0.100433256,0.201536863,0.034753578,0.255349604,0.165325404
1928,0.155978611,0.12606097,0.27492983,-0.144598767,0.150844289,0.283306004,0.250104963,-0.442325963,0.114555315,0.475442204,0.345130881,0.037118941,0.122808652,0.303786941,0.233018048,-0.043677956,0.324358163,0.271738078,0.022841404,0.139298304
1929,0.245570711,-0.03884583,0.17603063,-0.078833267,0.178646689,0.204700604,0.252270363,-0.573404963,-0.024517685,0.390688104,0.263772781,-0.134106859,0.102562452,0.218105441,0.201061748,0.121405044,0.271191563,0.228965978,0.014877604,0.192402504
1930,0.145836511,0.13252097,0.16022693,-0.089379767,0.108030889,0.124403304,0.051999363,-0.430007963,-0.202613585,0.329419404,0.117297981,-0.088487459,0.058312452,0.059030041,0.107499948,0.089736244,0.104710363,0.354576678,0.166751604,0.129849604
1931,0.063340911,-0.01311573,0.15036173,-0.065626667,-0.040007411,0.317973404,-0.021395437,-0.240140163,-0.063152085,0.412806004,0.052440181,-0.087084959,0.110913752,0.153706241,0.130041548,-0.000280356,0.110804463,0.314871378,0.063151404,-0.029440896
1932,0.223044211,0.08132397,0.30076803,-0.085295267,-0.011860311,0.456996104,0.030889663,-0.312780163,0.029741615,0.486715804,0.125824381,0.060359441,0.196560752,0.270377241,0.105139748,0.029508444,0.035703963,0.255232878,0.188287804,0.103190004
1933,0.279761911,0.00366097,0.22520633,-0.013589467,-0.044714511,0.159178704,-0.010601837,-0.235135363,-0.084686385,0.436304304,0.109919281,-0.017057459,0.061712252,0.235803241,0.127757448,0.098049644,0.092807063,0.148914078,0.112989204,0.132828304
1934,0.487955511,-0.04903653,0.11866123,0.139272733,-0.007777911,0.019915104,-0.048108137,-0.160985663,0.015153915,0.320733404,0.195900681,-0.000547659,0.177996552,0.254943741,0.354839648,0.006162644,0.163141963,0.088411478,0.016761404,0.114391004
1935,0.369138711,-0.11093163,0.20101243,-0.036422567,0.086788089,0.183653504,0.061389763,-0.210529463,0.001555715,0.309983304,0.330783581,0.017429941,0.211405852,0.333957641,0.376401348,-0.020838956,0.212190663,0.061677878,-0.093973696,0.226127104
1936,0.397510611,-0.13905823,0.12179803,-0.263980667,0.139163789,0.290595204,0.086064763,-0.214889263,0.060842815,0.239608404,0.110431181,-0.005761259,0.247517552,0.128408641,0.514415048,-0.057536956,0.143101163,0.151075778,0.127667404,0.341665404
1937,0.205055211,-0.05624793,0.20931203,-0.116860067,0.084579289,0.141149904,0.095653963,-0.080042763,0.217253015,0.207243004,0.169578281,0.213509741,0.414726952,0.054442841,0.373378748,0.054039244,0.127650263,0.233233678,0.043708404,0.268854804
1938,0.262754511,0.11745647,0.31258203,0.048654133,-0.103426811,0.085706804,0.017220963,-0.102877263,-0.021362685,0.303587604,0.281378481,0.005540041,0.352853152,0.269079441,0.303634348,-0.036021156,0.187209863,0.197905478,0.022294004,0.348342704
1939,0.321876711,0.03819907,0.30974483,0.094006133,-0.069387411,0.250131604,0.096242863,-0.081744863,0.094722315,0.367505204,0.293949181,-0.010996959,0.099426752,0.346912141,0.061601048,0.065041244,0.087562063,0.246748678,0.151871904,0.280682604
1940,0.303648411,0.06710947,0.33256823,0.071044133,-0.140777411,0.309308904,0.000149163,-0.166568563,0.040833815,0.390937104,0.334389781,0.134179741,0.094818252,0.490529941,0.155616948,-0.002854356,0.273056663,0.226775378,0.396217504,0.207237904
1941,0.446130711,0.19227017,0.33533943,0.064327733,0.062558989,0.275426204,0.062968563,-0.092050963,-0.076549585,0.181984104,0.458973481,0.208439341,0.162137552,0.351105441,0.169676248,-0.021476056,0.275607963,0.121971178,0.171804104,0.243827904
